name;company;experience level;technology;nice to have;location;category;salary_low;salary_high;salary_currency;salary;average_salary
Data Engineer - Data Science Hub;Allegro;Mid;['Data', 'SQL', 'Python', 'DevOps', 'CI/CD', 'REST API', 'Angielski (B2)', 'Polski (B2)'];['GitHub', 'Apache Airflow', 'Communication skills', 'Spark', 'Google cloud platform', 'Keboola'];Warszawa;data engineer;14200.0;19690.0;PLN;;16945.0
Data Engineer;Remitly Poland sp. z o.o.;Mid;['Data', 'Storage', 'Version control system', 'RDBMS', 'Angielski', 'Polski'];['Kubernetes', 'Docker'];Kraków;data engineer;20000.0;28000.0;PLN;;24000.0
Data Engineer;AllSTARSIT;Senior;['Data', 'Python', 'Data engineering', 'Angielski (B2)'];['AI', 'Hadoop', 'ML', 'Quality control', 'AWS Cloud', 'MLOps', 'CI', 'CD', 'Machine learning', 'Data mining', 'pandas', 'scikit-learn', 'PyTorch', 'Docker'];Praca zdalna;data engineer;;;;Brak widełki;
QA Engineer - Data Lake & Data Warehouse Solutions;Shiji Poland;Mid;['Testing', 'SQL', 'QA Automation', 'Docker', 'Angielski (B1)'];['Postman', 'C#', 'Swagger'];Praca zdalna;data engineer;10080.0;15960.0;PLN;;13020.0
Data Engineer;AVENGA;Senior;['Data', 'Python', 'Databricks', 'Azure Data Factory', 'SQL', 'Angielski (B2)'];Brak;Praca zdalna;data engineer;20100.0;26800.0;PLN;;23450.0
Data Engineer;Ework Group;Senior;['Data', 'Python', 'Azure', 'Azure Data Factory', 'Azure Databricks', 'Spark', 'Angielski (B2)'];Brak;Praca zdalna;data engineer;29088.0;32724.0;PLN;;30906.0
Azure Data Engineer;C&F S.A.;Mid;['DevOps', 'Azure', 'DevOps', 'Git', 'Azure DevOps', 'Python', 'SQL', 'Angielski (C1)', 'Polski (C1)'];['Terraform', 'ARM'];Praca zdalna;data engineer;;;;Brak widełki;
Data Ops Engineer;Winged IT;Senior;['DevOps', 'Linux', 'Kubernetes', 'TCP', 'Networking', 'Message queue', 'Kafka', 'MySQL', 'PostgreSQL', 'Aerospike Database', 'NoSQL', 'Angielski (B2)'];['Git', 'Hadoop', 'HDFS', 'Yarn', 'Hive', 'Spark', 'Jenkins', 'TeamCity', 'Ansible'];Warszawa;data engineer;25452.0;29088.0;PLN;;27270.0
Remote Data Engineer;Kingfisher plc.;Mid;['Data', 'Python', 'AWS', 'Angielski (B2)', 'Polski'];['Data modelling', 'Storage', 'Azure Cloud'];Praca zdalna;data engineer;15000.0;19000.0;PLN;;17000.0
Big Data Engineer IV;OpenX;Senior;['Backend', 'Scala', 'Cloud', 'Kubernetes', 'Java', 'Polski', 'Angielski'];['Docker', 'Spark', 'Jenkins', 'Hadoop', 'Data engineering', 'Python'];Praca zdalna;data engineer;30240.0;34944.0;PLN;;32592.0
Data Engineer;Prime Engineering;Mid;['Data', 'Hadoop', 'Python', 'PySpark', 'Git', 'GitLab', 'Angielski'];Brak;Warszawa;data engineer;21000.0;25200.0;PLN;;23100.0
Data Engineer with Microsoft Fabric;AVENGA;Mid;['Data', 'SQL', 'Python', 'Apache Spark', 'Databricks', 'Lakehouse Patterns', 'Medallion Architecture', 'Azure Data Services', 'Angielski (B2)', 'Polski (NATIVE)'];Brak;Praca zdalna;data engineer;20160.0;23520.0;PLN;;21840.0
Data Platform Engineer/Consultant;Elitmind;Mid;['Business Intelligence', 'English', 'SQL', 'ETL', 'Azure', 'Polski', 'Angielski (B2)'];['Databricks', 'Snowflake', 'Python', 'Data Modelling skills'];Praca zdalna;data engineer;13944.0;19992.0;PLN;;16968.0
Data Engineer;Asana;Senior;['Data', 'Enterprise iPass', 'Snaplogic', 'SQL', 'Python', 'Scala', 'AWS S3', 'Redshift', 'Angielski'];['Looker', 'Tableau', 'Periscope', 'MicroStrategy', 'Pentaho', 'Snowflake'];Warszawa;data engineer;18666.0;29833.0;PLN;;24249.5
Senior Data Engineer - Remote;Link Group;Senior;['Data', 'Python', 'SQL', 'Azure', 'Spark', 'Angielski (B2)'];Brak;Praca zdalna;data engineer;28560.0;35280.0;PLN;;31920.0
Data Engineer with GCP;GFT Poland;Mid;['Data', 'SQL', 'Data modeling', 'BigQuery', 'Google cloud platform', 'Python', 'Angielski (B2)'];['Tableau', 'Qlik Sense', 'Power BI'];Praca zdalna;data engineer;15120.0;26040.0;PLN;;20580.0
Data Engineer;BlueLabs;Senior;['Data', 'Spark', 'SQL', 'MongoDB', 'PostgreSQL', 'Python', 'Java', 'Kinesis', 'Degree', 'Flink', 'Data warehouses', 'Kafka', 'RabbitMQ', 'Data Lake', 'Continuous integration', 'Golang', 'Docker', 'Distributed computing', 'Angielski'];['Communication skills', 'Data modelling', 'Argo', 'BI', 'Looker', 'Terraform', 'IaC', 'Grafana', 'Big Data', 'Kubernetes', 'GCP', 'dbt'];Praca zdalna;data engineer;19839.0;34268.0;PLN;;27053.5
Data Engineer;AVENGA;Senior;['Data', 'Python', 'SQL', 'Snowflake', 'Docker', 'Polski', 'Angielski'];Brak;Praca zdalna;data engineer;23520.0;26880.0;PLN;;25200.0
Senior Data Engineer (Manager);Data Science UA;Senior;['Data', 'Python', 'Data engineering', 'SQL', 'Azure Cloud', 'Azure Data Factory', 'dbt', 'Terraform', 'ETL', 'Git', 'Angielski (C1)'];Brak;Praca zdalna;data engineer;18168.0;19783.0;PLN;;18975.5
Data Engineer;CHI Software;Mid;['Data', 'Snowflake', 'SQL', 'Python', 'Analytical skills', 'Data mapping', 'Data analysis', 'Data modelling', 'ETL', 'Data pipelines', 'Data engineering', 'AWS', 'dbt', 'Communication skills', 'Angielski (B2)'];['Data visualization'];Praca zdalna;data engineer;10093.0;20187.0;PLN;;15140.0
Data Engineer (Fulfillment);Tesco Technology;Mid;['Data', 'Hadoop', 'Scala', 'Kafka', 'Kubernetes', 'Spark', 'Angielski (B2)'];['Spark Streaming', 'Hive', 'Functional programming'];Kraków;data engineer;20000.0;30000.0;PLN;;25000.0
Data Engineer;Talent Hills;Mid;['Data', 'Python', 'Spark', 'Hive', 'Scala', 'Snowflake', 'AWS', 'Airflow', 'Athena', 'Kubernetes', 'SQL', 'MySQL', 'PostgreSQL', 'Polski', 'Angielski'];['Ruby on Rails', 'Golang'];Warszawa;data engineer;13000.0;19000.0;PLN;;16000.0
Data Engineer - Fulfillment (part time);Tesco Technology;Mid;['Data', 'Hadoop', 'Scala', 'Kafka', 'Kubernetes', 'Spark', 'apachespark', 'Airflow', 'Angielski (B2)'];['Spark Streaming', 'Hive', 'Functional programming'];Kraków;data engineer;15000.0;23000.0;PLN;;19000.0
Senior DataOps Engineer;AVENGA;Senior;['Data', 'Apache Airflow', 'Git', 'Python', 'SQL', 'dbt', 'AWS', 'GitLab', 'CI/CD', 'Angielski', 'Polski'];Brak;Praca zdalna;data engineer;26040.0;29400.0;PLN;;27720.0
