name;company;experience level;technology;nice to have;location;category;salary_low;salary_high;salary_currency;salary
Data Engineer;AVENGA;Senior;['Data', 'Python', 'Databricks', 'Azure Data Factory', 'SQL', 'Angielski (B2)'];Brak;Praca zdalna;data engineer;20100;26800;PLN;
Data Platform Engineer/Consultant;Elitmind;Mid;['Business Intelligence', 'English', 'SQL', 'ETL', 'Azure', 'Polski', 'Angielski (B2)'];['Databricks', 'Snowflake', 'Python', 'Data Modelling skills'];Praca zdalna;data engineer;13944;19992;PLN;
Data Engineer (Fulfillment);Tesco Technology;Mid;['Data', 'Hadoop', 'Scala', 'Kafka', 'Kubernetes', 'Spark', 'Angielski (B2)'];['Spark Streaming', 'Hive', 'Functional programming'];Kraków;data engineer;20000;30000;PLN;
Data Engineer;Talent Hills;Mid;['Data', 'Python', 'Spark', 'Hive', 'Scala', 'Snowflake', 'AWS', 'Airflow', 'Athena', 'Kubernetes', 'SQL', 'MySQL', 'PostgreSQL', 'Polski', 'Angielski'];['Ruby on Rails', 'Golang'];Warszawa;data engineer;13000;24000;PLN;
Data Engineer;Harvey Nash Technology;Mid;['Data', 'Data engineering', 'Hive', 'Spark', 'Python', 'SQL', 'Angielski'];['Snowflake', 'AWS', 'Flask', 'REST API'];Warszawa;data engineer;18000;24000;PLN;
Data Engineer;AllSTARSIT;Senior;['Data', 'Python', 'Data engineering', 'Angielski (B2)'];['AI', 'Hadoop', 'ML', 'Quality control', 'AWS Cloud', 'MLOps', 'CI', 'CD', 'Machine learning', 'Data mining', 'pandas', 'scikit-learn', 'PyTorch', 'Docker'];Praca zdalna;data engineer;;;;Brak widełki
Senior GCP Data Engineer;Link Group;Senior;['Data', 'GCP', 'BigQuery', 'Cloud Functions', 'Cloud Run', 'Workflows', 'Dataflow', 'Git', 'SQL', 'Java', 'Python', 'DWH', 'Data Lake', 'Lakehouse', 'Polski', 'Angielski (B2)'];['Docker', 'Kubernetes', 'Terraform', 'dbt', 'ETL', 'Fivetran', 'CI/CD'];Praca zdalna;data engineer;23520;28560;PLN;
Data Curator for AI (Data Engineer);Intergraph Polska Sp. z o.o.;Senior;['AI', 'Data analysis', 'Angielski (B2)'];['Phyton', 'Cloud', 'Machine Learning'];Łódź;data engineer;;;;Brak widełki
Contractor Big Data Engineer;OpenNet.pl Sp. z o.o.;Senior;['Data', 'Scala', 'Python', 'Java', 'Spark', 'Apache Beam', 'GCP', 'Azure', 'AWS', 'TDD', 'CI/CD', 'Unix', 'Linux', 'Angielski (B2)'];Brak;['Kraków', 'Warszawa'];data engineer;14200;25410;PLN;
Big Data Engineer IV;OpenX;Senior;['Backend', 'Scala', 'Cloud', 'Kubernetes', 'Java', 'Polski', 'Angielski'];['Docker', 'Spark', 'Jenkins', 'Hadoop', 'Data engineering', 'Python'];Praca zdalna;data engineer;30240;34944;PLN;
Data Engineer;Xebia Sp. z o.o.;Mid;['Data', 'EXCEL', 'powershell', 'SQL Server', 'Azure DevOps', 'Angielski (B2)'];Brak;Praca zdalna;data engineer;18000;31000;PLN;
Senior Data Engineer;Altimetrik Poland;Senior;['Data', 'SQL', 'ETL', 'Tableau', 'Data modeling', 'AWS', 'Power BI', 'CI/CD', 'Data warehouse', 'Python', 'PySpark', 'Data engineering', 'Storage', 'Snowflake', 'AWS S3', 'AWS EC', 'Data modelling', 'Design Patterns', 'Airflow', 'Control-M', 'DevOps', 'Continuous deployment', 'CD', 'Data visualization', 'BI', 'Polski (NATIVE)', 'Angielski (B2)'];Brak;Praca zdalna;data engineer;22000;26000;PLN;
Data Engineer;hubQuest;Mid;['Data', 'Python', 'PySpark', 'Azure', 'SQL', 'Databricks', 'Angielski (C1)', 'Polski (C1)'];['Terraform', 'dbt'];Praca zdalna;data engineer;25000;30000;PLN;
Data Engineer;7N;Senior;['Data', 'Python', 'SQL', 'Power BI', 'CA', 'Angielski'];['CI/CD', 'Kubernetes', 'GCP', 'Airflow', 'Workato', 'dbt', 'Snowflake', 'Fivetran'];Warszawa;data engineer;26880;33600;PLN;
Remote Data Engineer;Kingfisher plc.;Mid;['Data', 'Python', 'AWS', 'Angielski (B2)', 'Polski'];['Data modelling', 'Storage', 'Azure Cloud'];Praca zdalna;data engineer;15000;19000;PLN;
